Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  19:00:00,1.83953484892057,1.98474664191178,0.000000000000000E+000,1.00023546142610,0.000000000000000E+000,2.774488761285997E-002,2.774488761285997E-002,2.774488761285997E-002,0.621385558775688,0.127452298790557,0.432594366092666,0.585282701588801,0.944194077639119 
 01/01  20:00:00,1.79169357814547,2.05377819336047,0.000000000000000E+000,1.04095713259929,0.000000000000000E+000,2.887443983699061E-002,2.887443983699061E-002,2.887443983699061E-002,0.658882972356687,0.135143384375571,0.349590930400065,0.604126839116154,0.971205882593598 
 01/01  21:00:00,1.66779865556318,2.12843805381235,0.000000000000000E+000,1.18299291028390,0.000000000000000E+000,3.281427884574374E-002,3.281427884574374E-002,3.281427884574374E-002,0.567817872587024,0.116465029772149,0.310730546875078,0.624895915423182,0.902399290947936 
 01/01  22:00:00,1.53334229069501,2.27560370228909,0.000000000000000E+000,1.42299764786765,0.000000000000000E+000,3.947161577051235E-002,3.947161577051235E-002,3.947161577051235E-002,0.476752706319499,9.778667516872755E-002,0.293949375651685,0.610306905724587,0.810565163379773 
 01/01  23:00:00,1.25946008567279,2.49371308156781,0.000000000000000E+000,1.78633469841865,0.000000000000000E+000,4.954998833566090E-002,4.954998833566090E-002,4.954998833566090E-002,0.358903730206574,7.361468605610173E-002,0.234174255411816,0.528142413602635,0.670997379663066 
 01/01  24:00:00,0.981053989223061,2.66086927110982,0.000000000000000E+000,2.11347707145577,0.000000000000000E+000,5.862438003976846E-002,5.862438003976846E-002,5.862438003976846E-002,0.246411489463584,5.054142930106109E-002,0.151455748256992,0.458945930101656,0.515777784577900 
 01/02  01:00:00,0.704109529986048,2.82079705482189,0.000000000000000E+000,2.45562725553428,0.000000000000000E+000,6.811506375382408E-002,6.811506375382408E-002,6.811506375382408E-002,0.128562513350658,2.636944018843528E-002,8.636931076758889E-002,0.379618189865542,0.339019862578918 
 01/02  02:00:00,0.599992538623852,2.92121359460506,0.000000000000000E+000,2.62356416528794,0.000000000000000E+000,7.277335759248033E-002,7.277335759248033E-002,7.277335759248033E-002,7.499482716199374E-002,1.538217117002709E-002,7.223881327716383E-002,0.349528357362187,0.273572225782294 
 01/02  03:00:00,0.565638194329093,3.19320341609094,0.000000000000000E+000,2.91354818633107,0.000000000000000E+000,8.081703768946037E-002,8.081703768946037E-002,8.081703768946037E-002,5.356771943759626E-002,1.098726765447209E-002,5.971530281942931E-002,0.345475854668135,0.255857182208043 
 01/02  04:00:00,0.554735380270871,3.23634903816538,0.000000000000000E+000,2.95192189281768,0.000000000000000E+000,8.188146123253463E-002,8.188146123253463E-002,8.188146123253463E-002,5.356771943759626E-002,1.098726765447209E-002,5.261106845099969E-002,0.340612851435269,0.260964084975500 
 01/02  05:00:00,0.553978245722203,3.34410363995766,0.000000000000000E+000,3.00848150741400,0.000000000000000E+000,8.345033197439439E-002,8.345033197439439E-002,8.345033197439439E-002,5.356771943759626E-002,1.098726765447209E-002,6.315175921409334E-002,0.327746155381645,0.313045392417519 
 01/02  06:00:00,0.603701124132085,3.53560493661666,0.000000000000000E+000,2.96885681286074,0.000000000000000E+000,8.235120807860015E-002,8.235120807860015E-002,8.235120807860015E-002,5.356771943759626E-002,1.098726765447209E-002,7.598154876300982E-002,0.365738368138405,0.541554296289029 
 01/02  07:00:00,0.792379394999700,3.75481766949951,0.000000000000000E+000,2.75773529510245,0.000000000000000E+000,7.649504419643889E-002,7.649504419643889E-002,7.649504419643889E-002,0.123205777980724,2.527070783085009E-002,0.129758134509170,0.422574718422518,0.967973384268455 
 01/02  08:00:00,1.10948066333163,4.88572753281732,0.000000000000000E+000,3.77000689317999,0.000000000000000E+000,0.104573794456211,0.104573794456211,0.104573794456211,0.251768291331382,5.164014801928536E-002,0.207406094963531,0.449017298501221,1.08479015671954 
